batch_size,epochs_trained,f1_cuisine,f1_dietaryRestriction,f1_duration,f1_easyKeyWord,f1_filterType,f1_ingredient,f1_mealType,f1_recipe,final_training_loss,intent_accuracy,intent_macro_f1,intent_weighted_f1,learning_rate,max_length,merged_macro_f1,merged_weighted_f1,num_epochs,slot_accuracy,slot_macro_f1,slot_weighted_f1,training_time_seconds
8,5,0.9066666666666666,0.7667031763417306,0.7859154929577464,0.3424124513618677,0.6596858638743456,0.8992731048805815,0.4738675958188153,0.9273542600896861,0.17120020639468736,0.9373659373659373,0.9151910177492485,0.936788748058854,1e-05,32,0.72023482649893,0.7800635137845293,5,0.9892079579579579,0.617394799387367,0.9878426486085855,90.66271996498108
8,5,0.8366336633663366,0.6334841628959276,0.7349397590361446,0.0,0.38323353293413176,0.8614457831325302,0.2711864406779661,0.927797833935018,0.15880725588176192,0.9309309309309309,0.9068101551001949,0.9296596659691619,1e-05,48,0.5810901469972569,0.6835077736461964,5,0.9907228657228657,0.5090067045753258,0.9893786067186445,104.73797655105591
8,5,0.9481865284974094,0.9214780600461894,0.8494897959183674,0.7598944591029023,0.7247706422018348,0.9233870967741935,0.8053333333333333,0.9617097061442564,0.11935095494454351,0.9446589446589446,0.9268103905451942,0.9445102898004661,2e-05,32,0.8617812027523108,0.8911943823186079,5,0.9933907121407122,0.8115555734174469,0.9932638797910319,90.64625835418701
8,5,0.923469387755102,0.8425624321389794,0.7896253602305475,0.6326034063260341,0.6417112299465241,0.896551724137931,0.5878378378378378,0.9507609668755596,0.10935023221255508,0.9210639210639211,0.894779404512492,0.9179964121663254,2e-05,48,0.7831402931560644,0.829246444679718,5,0.994029744029744,0.7136148097799052,0.9936734726943007,104.62780857086182
8,5,0.9536082474226805,0.9240048250904704,0.8742058449809402,0.7528089887640449,0.6836734693877551,0.9262295081967213,0.8011527377521613,0.9508196721311475,0.11435355307598374,0.9253539253539254,0.9047858157161075,0.9253466506265857,3e-05,32,0.8583129117157402,0.8914434588039964,5,0.9934041184041184,0.8350717569799414,0.9931678320333075,90.34207701683044
8,5,0.9503916449086162,0.9193548387096774,0.8078947368421052,0.6934673366834171,0.7184466019417476,0.9129989764585466,0.8010752688172043,0.9367088607594937,0.1102173932937986,0.9343629343629344,0.9120117355696392,0.9344113312869569,3e-05,48,0.842542283140101,0.8714452503689032,5,0.9951737451737451,0.8221214257890807,0.9950948564506313,104.99710297584534
8,5,0.9336870026525199,0.9,0.8459530026109661,0.7649769585253456,0.7605633802816901,0.9238683127572016,0.8672985781990521,0.9579230080572964,0.13554694800343928,0.9335049335049335,0.911480905652682,0.9318678328406181,5e-05,32,0.8692837803855089,0.8919220363627851,5,0.9934577434577434,0.8164210223954699,0.9934304289000395,90.53714942932129
8,5,0.9319899244332494,0.8982456140350877,0.8428927680798005,0.7440633245382586,0.7394957983193278,0.8760806916426513,0.8272506082725061,0.9434977578475336,0.1363333656211761,0.9202059202059202,0.8956612644183283,0.9182028375599935,5e-05,48,0.8504395608960519,0.8733955592010073,5,0.9948073073073073,0.8296705934518758,0.99488575056897,104.73173785209656
16,5,0.8578811369509044,0.6088495575221239,0.7190332326283988,0.0,0.05128205128205128,0.8816986855409504,0.24561403508771928,0.9323843416370107,0.25237004503385346,0.924924924924925,0.8951150378512712,0.9228545051597646,1e-05,32,0.5370928800811449,0.6665891707121201,5,0.9860574860574861,0.48929196057558727,0.9836329028658738,61.32740926742554
16,5,0.6978021978021978,0.6604215456674473,0.6624,0.0,0.0,0.8503118503118503,0.0,0.917910447761194,0.24662706400476284,0.9227799227799228,0.8920481977362914,0.9218827412306184,1e-05,48,0.47360575519283615,0.6241759889080637,5,0.9885599885599886,0.39185224745146785,0.9853680221574286,73.09343481063843
